"Player","Team","Price","L01","L02","L03","L04","L05","LastScore","SeasonAvg","Last3Avg","Last5Avg"
"Aaron Black","WCE",221000,0,0,0,0,0,0,0,0,0
"Aaron Francis","ESS",387000,25,63,43,0,0,25,43.6666666666667,43.6666666666667,43.6666666666667
"Aaron Hall","NTH",818000,50,95,86,92,125,50,89.6,77,89.6
"Aaron Naughton","WBD",603000,95,92,56,66,102,95,73,81,82.2
"Adam Cerra","CAR",755000,95,106,89,107,91,95,92,96.6666666666667,97.6
"Adam Kennedy","GWS",532000,89,49,74,94,61,89,67.8333333333333,70.6666666666667,73.4
"Adam Saad","CAR",615000,63,50,96,89,61,63,76.5,69.6666666666667,71.8
"Adam Tomlinson","MEL",457000,33,40,88,35,0,33,49,53.6666666666667,49
"Adam Treloar","WBD",767000,134,90,78,88,109,134,96.8888888888889,100.666666666667,99.8
"Aidan Corr","NTH",402000,44,53,55,34,57,44,50.125,50.6666666666667,45
"Aiden Begg","COLL",269000,13,54,64,0,0,13,43.6666666666667,43.6666666666667,43.6666666666667
"Aiden Bonar","NTH",215000,30,-3,-3,22,0,30,11.5,8,11.5
"Alastair Lord","ESS",2e+05,0,0,0,0,0,0,0,0,0
"Alec Waterman","ESS",392000,24,26,65,48,53,24,43.2,38.3333333333333,43.2
"Alex Davies","GCS",335000,54,41,22,38,28,54,41.5,44.6666666666667,38.8
"Alex Keath","WBD",444000,65,95,35,28,0,65,55.75,65,55.75
"Alex Mirkov","CAR",190000,0,0,0,0,0,0,0,0,0
"Alex Neal-Bullen","MEL",603000,84,81,65,58,36,84,76.25,83,74.4
"Alex Pearce","FRE",336000,31,48,46,29,56,31,41,41.6666666666667,42
"Alex Sexton","GCS",425000,30,12,0,0,0,30,21,21,21
"Alex Witherden","WCE",828000,112,97,117,102,92,112,101.571428571429,108.666666666667,105.6
"Aliir Aliir","PTA",436000,69,63,63,33,21,69,49.3333333333333,65,49.8
"Andrew Brayshaw","FRE",928000,99,134,83,116,123,99,117.888888888889,105.333333333333,111
"Andrew Gaff","WCE",736000,68,47,98,100,0,68,78.25,71,78.25
"Andrew McGrath","ESS",666000,78,62,74,108,70,78,81,71.3333333333333,78.4
"Andrew McPherson","ADE",465000,40,0,0,0,0,40,40,40,40
"Andrew Phillips","ESS",512000,5,64,71,0,0,5,46.6666666666667,46.6666666666667,46.6666666666667
"Andy Moniz-Wakefield","MEL",190000,0,0,0,0,0,0,0,0,0
"Angus Brayshaw","MEL",779000,92,123,110,90,75,92,98.3333333333333,108.333333333333,98
"Angus Sheldrick","SYD",255000,28,0,0,0,0,28,28,28,28
"Anthony McDonald-Tipungwuti","ESS",454000,0,0,0,0,0,0,0,0,0
"Anthony Scott","WBD",389000,57,33,49,82,22,57,48.7142857142857,46.3333333333333,48.6
"Archie Perkins","ESS",466000,57,74,55,67,27,57,59.1111111111111,62,56
"Arlo Draper","COLL",202000,0,0,0,0,0,0,0,0,0
"Arthur Jones","WBD",206000,0,0,0,0,0,0,0,0,0
"Ash Johnson","COLL",190000,0,0,0,0,0,0,0,0,0
"Atu Bosenavulagi","NTH",312000,40,46,27,35,25,40,36.6666666666667,37.6666666666667,34.6
"Bailey Banfield","FRE",376000,43,107,0.1,49,45,43,52.1666666666667,66.3333333333333,53.4
"Bailey Dale","WBD",785000,106,92,102,126,74,106,94.6666666666667,100,100
"Bailey Laurie","MEL",190000,0,0,0,0,0,0,0,0,0
"Bailey Scott","NTH",569000,89,57,90,73,79,89,68.2222222222222,78.6666666666667,77.6
"Bailey Smith","WBD",907000,116,100,100,92,147,116,118.5,105.333333333333,111
"Bailey Williams","WBD",431000,63,32,53,47,73,63,48.75,49.3333333333333,53.6
"Bailey J. Williams","WCE",377000,43,56,52,60,31,43,48.4,50.3333333333333,48.4
"Barry O'Connor","SYD",190000,0,0,0,0,0,0,0,0,0
"Bayley Fritsch","MEL",432000,62,26,61,79,51,62,50.8888888888889,43,53.8
"Beau McCreery","COLL",334000,11,40,31,36,60,11,39.5,27.3333333333333,35.6
"Ben Ainsworth","GCS",593000,35,77,72,112,81,35,69.4444444444444,61.3333333333333,75.4
"Ben Brown","MEL",456000,32,64,70,42,34,32,53.1666666666667,55.3333333333333,48.4
"Ben Cunnington","NTH",832000,0,0,0,0,0,0,0,0,0
"Ben Davis","ADE",318000,0,0,0,0,0,0,0,0,0
"Ben Hobbs","ESS",408000,63,95,30,46,72,63,61.2,62.6666666666667,61.2
"Ben Keays","ADE",885000,92,98,100,102,114,92,111,96.6666666666667,101.2
"Ben King","GCS",427000,0,0,0,0,0,0,0,0,0
"Ben Long","STK",460000,49,45,63,70,68,49,56.8571428571429,52.3333333333333,59
"Ben McEvoy","HAW",661000,69,0,0,0,0,69,69,69,69
"Ben McKay","NTH",356000,62,65,50,53,29,62,51.8,59,51.8
"Ben Miller","RI",204000,14,39,25,0,0,14,26,26,26
"Ben Paton","STK",499000,65,75,82,46,63,65,62,74,66.2
"Ben Ronke","SYD",413000,46,42,71,79,52,46,51,53,58
"Bigoa Nyuon","RI",190000,0,0,0,0,0,0,23,23,23
"Billy Frampton","ADE",536000,60,59,98,90,52,60,69.5,72.3333333333333,71.8
"Blake Acres","FRE",731000,113,109,99,76,83,113,92,107,96
"Blake Coleman","BRL",190000,0,0,0,0,0,0,0,0,0
"Blake Hardwick","HAW",530000,65,50,60,68,65,65,62.1111111111111,58.3333333333333,61.6
"Blake Howes","MEL",214000,0,0,0,0,0,0,0,0,0
"Bodhi Uwland","GCS",190000,0,0,0,0,0,0,0,0,0
"Brad Crouch","STK",833000,125,115,79,87,100,125,104.444444444444,106.333333333333,101.2
"Brad Close","GEE",492000,23,55,72,64,44,23,62.8888888888889,50,51.6
"Bradley Hill","STK",576000,76,81,72,32,63,76,73.3333333333333,76.3333333333333,64.8
"Brady Hough","WCE",273000,51,37,40,0,0,51,42.6666666666667,42.6666666666667,42.6666666666667
"Braeden Campbell","SYD",417000,37,51,29,42,88,37,51.625,39,49.4
"Brandan Parfitt","GEE",601000,65,71,75,67,79,65,73.6666666666667,70.3333333333333,71.4
"Brandon Ellis","GCS",687000,80,106,86,68,84,80,80.6666666666667,90.6666666666667,84.8
"Brandon Starcevich","BRL",481000,64,70,63,63,62,64,56.5555555555556,65.6666666666667,64.4
"Brandon Walker","FRE",352000,15,58,29,63,32,15,42,34,39.4
"Brandon Zerk-Thatcher","ESS",333000,15,37,68,40,0,15,40,40,40
"Brayden Cook","ADE",343000,44,49,38,66,22,44,43.1428571428571,43.6666666666667,43.8
"Brayden Fiorini","GCS",678000,60,118,68,61,85,60,82.1111111111111,82,78.4
"Brayden Ham","ESS",352000,35,25,41,48,35,35,36.8,33.6666666666667,36.8
"Brayden Maynard","COLL",555000,92,47,51,76,65,92,65,63.3333333333333,66.2
"Braydon Preuss","GWS",683000,108,91,95,105,85,108,98.6666666666667,98,96.8
"Brennan Cox","FRE",493000,76,67,31,78,81,76,61.5,58,66.6
"Brent Daniels","GWS",430000,0,0,0,0,0,0,0,0,0
"Brodie Grundy","COLL",802000,105,54,124,99,82,105,93.3333333333333,94.3333333333333,92.8
"Brodie Kemp","CAR",281000,49,0,0,0,0,49,49,49,49
"Brodie Smith","ADE",606000,58,66,74,91,56,58,72.5,66,69
"Brody Mihocek","COLL",522000,58,78,58,76,51,58,63,64,65.2
"Buku Khamis","WBD",235000,57,44,0,0,0,57,50.5,50.5,50.5
"Caleb Daniel","WBD",710000,123,52,105,77,96,123,86.4444444444444,93.3333333333333,90.6
"Caleb Graham","GCS",239000,4,18,21,0,0,4,14.3333333333333,14.3333333333333,14.3333333333333
"Caleb Marchbank","CAR",294000,0,0,0,0,0,0,0,0,0
"Caleb Poulter","COLL",520000,49,0,0,0,0,49,49,49,49
"Caleb Serong","FRE",719000,126,112,66,107,60,126,89.1428571428571,107.333333333333,99
"Callan Ward","GWS",684000,62,60,70,113,115,62,82.4444444444444,64,84
"Callum Ah Chee","BRL",430000,80,76,28,62,54,80,49.8888888888889,60.6666666666667,54.4
"Callum L. Brown","COLL",389000,20,48,24,54,69,20,43,30.6666666666667,43
"Callum M. Brown","GWS",214000,0,0,0,0,0,0,0,0,0
"Callum Coleman-Jones","NTH",423000,35,55,21,0,0,35,47.25,56,47.25
"Callum Jamieson","WCE",236000,34,73,0,0,0,34,39.6666666666667,39.6666666666667,39.6666666666667
"Callum Mills","SYD",953000,156,131,162,106,106,156,113.222222222222,121,126.2
"Callum Sinclair","SYD",520000,0,0,0,0,0,0,0,0,0
"Callum Wilkie","STK",536000,74,95,41,62,74,74,66.8888888888889,70,69.2
"Cameron Ellis-Yolmen","BRL",325000,0,0,0,0,0,0,0,0,0
"Cameron Fleeton","GWS",190000,0,0,0,0,0,0,0,0,0
"Cameron Guthrie","GEE",761000,78,107,107,69,70,78,88.6666666666667,95,92.2
"Cam Rayner","BRL",488000,54,61,65,83,53,54,58.3333333333333,60,63.2
"Cameron Zurhaar","NTH",474000,83,63,67,57,46,83,55.875,71,63.2
"Campbell Chesser","WCE",264000,0,0,0,0,0,0,0,0,0
"Carter Michael","BRL",190000,0,0,0,0,0,0,0,0,0
"Chad Warner","SYD",721000,109,102,104,108,59,109,89.875,105,96.4
"Chad Wingard","HAW",534000,70,65,67,61,21,70,56.5,67.3333333333333,56.8
"Changkuoth Jiath","HAW",587000,65,60,110,38,73,65,69.2,78.3333333333333,69.2
"Charlie Ballard","GCS",457000,57,80,35,85,45,57,52.6666666666667,57.3333333333333,60.4
"Charlie Cameron","BRL",596000,67,70,66,97,64,67,72.7777777777778,67.6666666666667,72.8
"Charlie Comben","NTH",190000,0,0,0,0,0,0,0,0,0
"Charlie Constable","GCS",513000,0,0,0,0,0,0,0,0,0
"Charlie Curnow","CAR",650000,76,138,75,60,102,76,80.3333333333333,96.3333333333333,90.2
"Charlie Dean","COLL",190000,0,0,0,0,0,0,0,0,0
"Charlie Dixon","PTA",574000,0,0,0,0,0,0,0,0,0
"Charlie Lazzaro","NTH",347000,37,37,0,0,0,37,37,37,37
"Charlie Parker","WBD",190000,0,0,0,0,0,0,0,0,0
"Charlie Spargo","MEL",501000,58,70,59,97,61,58,60.3333333333333,56.6666666666667,65.2
"Chayce Jones","ADE",436000,41,56,54,71,48,41,52.5555555555556,50.3333333333333,54
"Chris Burgess","GCS",442000,25,0,0,0,0,25,25,25,25
"Christian Petracca","MEL",879000,139,118,111,76,115,139,110.777777777778,122.666666666667,111.8
"Christian Salem","MEL",717000,3,0,0,0,0,3,3,3,3
"Cian McBride","ESS",190000,0,0,0,0,0,0,0,0,0
"Clayton Oliver","MEL",913000,91,119,126,129,111,91,109,112,115.2
"Cody Brand","ESS",190000,0,0,0,0,0,0,0,0,0
"Cody Raak","WBD",190000,0,0,0,0,0,0,0,0,0
"Cody Weightman","WBD",421000,37,55,43,65,38,37,49,45,47.6
"Colin O'Riordan","SYD",313000,0,0,0,0,0,0,0,0,0
"Connor Blakely","FRE",318000,0,0,0,0,0,0,0,0,0
"Connor Budarick","GCS",468000,81,101,45,58,0,81,71.25,75.6666666666667,71.25
"Connor Downie","HAW",220000,0,0,0,0,0,0,0,0,0
"Connor Idun","GWS",448000,72,51,49,30,41,72,56,65,54.8
"Connor Macdonald","HAW",356000,52,47,34,49,25,52,47,46,44.2
"Connor McFadyen","BRL",190000,0,0,0,0,0,0,0,0,0
"Connor Rozee","PTA",642000,92,67,74,119,113,92,71.4444444444444,77.6666666666667,93
"Connor West","WCE",537000,114,72,69,72,76,114,75.1666666666667,85,80.6
"Conor Nash","HAW",439000,79,38,59,40,47,79,55,58.6666666666667,52.6
"Conor Stone","GWS",260000,36,0,0,0,0,36,36,36,36
"Cooper Hamilton","GWS",291000,61,44,64,0,0,61,56.3333333333333,56.3333333333333,56.3333333333333
"Cooper Murley","COLL",194000,0,0,0,0,0,0,0,0,0
"Cooper Sharman","STK",458000,53,0,0,0,0,53,53,53,53
"Cooper Stephens","GEE",210000,53,0,0,0,0,53,53,53,53
"Cooper Whyte","GEE",190000,0,0,0,0,0,0,0,0,0
"Corey Durdin","CAR",361000,79,44,50,28,46,79,49.375,57.6666666666667,49.4
"Corey Warner","SYD",212000,0,0,0,0,0,0,0,0,0
"Curtis Taylor","NTH",423000,58,28,23,64,51,58,55.3333333333333,36.3333333333333,44.8
"Dan Houston","PTA",767000,87,64,93,134,100,87,95.6666666666667,81.3333333333333,95.6
"Dane Rampe","SYD",327000,55,47,13,28,26,55,40.1111111111111,38.3333333333333,33.8
"Dan Butler","STK",418000,27,43,36,37,83,27,51.625,35.3333333333333,45.2
"Dan Hannebery","STK",456000,0,0,0,0,0,0,0,0,0
"Daniel Howe","HAW",560000,10,51,66,0,0,10,42.3333333333333,42.3333333333333,42.3333333333333
"Daniel Lloyd","GWS",508000,19,58,0,0,0,19,38.5,38.5,38.5
"Daniel McKenzie","STK",559000,85,71,59,86,59,85,68.5555555555556,73.3333333333333,73
"Daniel McStay","BRL",517000,9,88,47,64,94,9,58.125,48,60.4
"Daniel Rich","BRL",743000,90,107,82,93,83,90,88.6666666666667,93,91
"Daniel Rioli","RI",613000,71,62,85,73,70,71,77.6666666666667,72.6666666666667,72.2
"Daniel Turner","MEL",190000,0,0,0,0,0,0,0,0,0
"Dante Visentini","PTA",190000,0,0,0,0,0,0,0,0,0
"Darcy Byrne-Jones","PTA",649000,90,75,66,66,107,90,80.7777777777778,77,80.8
"Darcy Cameron","COLL",587000,90,112,107,50,40,90,68.5,103,79.8
"Darcy Fogarty","ADE",361000,45,26,43,50,0,45,41,38,41
"Darcy Fort","BRL",529000,70,84,70,38,91,70,65.4444444444444,69.3333333333333,63.2
"Darcy Gardiner","BRL",421000,37,56,48,45,43,37,52.25,47,45.8
"Darcy Macpherson","GCS",454000,39,29,40,0,0,39,36,36,36
"Darcy Moore","COLL",503000,59,60,54,52,81,59,60.7777777777778,57.6666666666667,61.2
"Darcy Parish","ESS",858000,87,131,114,88,112,87,103.111111111111,106.333333333333,104.2
"Darcy Tucker","FRE",474000,48,37,74,48,52,48,57.5714285714286,53,51.8
"Darcy Wilmot","BRL",260000,0,0,0,0,0,0,0,0,0
"Darragh Joyce","STK",262000,42,0,0,0,0,42,42,42,42
"David Cuningham","CAR",433000,0,0,0,0,0,0,0,0,0
"David Mundy","FRE",665000,75,91,60,84,67,75,80,75.3333333333333,75.4
"David Swallow","GCS",587000,66,120,55,84,48,66,65.8888888888889,80.3333333333333,74.6
"Dayne Zorko","BRL",790000,112,132,105,56,109,112,93.4444444444444,116.333333333333,102.8
"Deakyn Smith","MEL",190000,0,0,0,0,0,0,0,0,0
"Dean Kent","STK",474000,21,0,0,0,0,21,21,21,21
"Declan Mountford","WCE",217000,20,49,0,0,0,20,34.5,34.5,34.5
"Deividas Uosis","BRL",190000,0,0,0,0,0,0,0,0,0
"Denver Grainger-Barras","HAW",286000,25,25,52,23,23,25,35.5,34,29.6
"Deven Robertson","BRL",519000,0,0,0,0,0,0,0,0,0
"Devon Smith","ESS",477000,54,74,58,18,68,54,54.4,62,54.4
"Dion Prestia","RI",723000,66,104,93,114,37,66,84.5,87.6666666666667,94
"Domanic Akuei","CAR",190000,0,0,0,0,0,0,0,0,0
"Dominic Bedendo","WBD",190000,0,0,0,0,0,0,0,0,0
"Dom Sheed","WCE",766000,0,0,0,0,0,0,0,0,0
"Dougal Howard","STK",444000,33,90,52,57,35,33,50,58.3333333333333,53.4
"Dustin Martin","RI",671000,93,84,71,0,0,93,82.6666666666667,82.6666666666667,82.6666666666667
"Dylan Grimes","RI",352000,46,42,31,13,43,46,35,39.6666666666667,35
"Dylan Moore","HAW",760000,60,95,138,82,100,60,93.4444444444444,97.6666666666667,95
"Dylan Shiel","ESS",584000,50,70,43,90,51,50,69.375,54.3333333333333,60.8
"Dylan Stephens","SYD",518000,38,89,49,0,0,38,58.6666666666667,58.6666666666667,58.6666666666667
"Dylan Williams","PTA",196000,0,0,0,0,0,0,0,0,0
"Dyson Heppell","ESS",716000,73,105,98,63,103,73,82.4444444444444,92,88.4
"Ed Langdon","MEL",739000,84,140,38,115,86,84,89.3333333333333,87.3333333333333,92.6
"Ed Richards","WBD",521000,96,67,87,46,58,96,65,83.3333333333333,70.8
"Eddie Ford","NTH",329000,20,41,0,0,0,20,30.5,30.5,30.5
"Ed Curnow","CAR",746000,0,0,0,0,0,0,0,0,0
"Ned McHenry","ADE",370000,56,21,57,27,55,56,46.375,44.6666666666667,43.2
"Elijah Hollands","GCS",190000,0,0,0,0,0,0,0,0,0
"Elliott Himmelberg","ADE",424000,64,44,26,81,45,64,52.3333333333333,44.6666666666667,50.6
"Elliot Yeo","WCE",624000,18,65,0,0,0,18,41.5,41.5,41.5
"Ely Smith","BRL",190000,0,0,0,0,0,0,0,0,0
"Emerson Jeka","HAW",201000,0,0,0,0,0,0,0,0,0
"Eric Benning","FRE",190000,0,0,0,0,0,0,0,0,0
"Eric Hipwood","BRL",462000,39,0,0,0,0,39,39,39,39
"Errol Gulden","SYD",644000,108,66,68,99,62,108,81.5555555555556,80.6666666666667,83
"Esava Ratugolea","GEE",349000,26,52,26,0,0,26,34.6666666666667,34.6666666666667,34.6666666666667
"Ethan Hughes","FRE",508000,0,0,0,0,0,0,0,0,0
"Finlay Macrae","COLL",332000,18,0,0,0,0,18,18,18,18
"Finn Callaghan","GWS",385000,52,68,51,54,45,52,54,57,54
"Finn Maginness","HAW",404000,40,80,39,71,35,40,50.625,53,53
"Fionn O'Hara","HAW",190000,0,0,0,0,0,0,0,0,0
"Fischer McAsey","ADE",201000,0,0,0,0,0,0,0,0,0
"Flynn Kroeger","GEE",196000,0,0,0,0,0,0,0,0,0
"Flynn Perez","NTH",362000,32,69,46,46,44,32,46.5,49,47.4
"Francis Evans","GEE",207000,36,30,0,0,0,36,33,33,33
"Fraser Rosman","MEL",190000,0,0,0,0,0,0,0,0,0
"Garrett McDonagh","ESS",192000,0,0,0,0,0,0,0,0,0
"Gary Rohan","GEE",479000,0,0,0,0,0,0,0,0,0
"George Hewett","CAR",777000,97,115,83,115,119,97,100.714285714286,98.3333333333333,105.8
"Greg Clark","WCE",313000,61,110,0,0,0,61,85.5,85.5,85.5
"Griffin Logue","FRE",495000,110,43,57,78,58,110,66.5,70,69.2
"Gryan Miers","GEE",503000,44,57,53,54,70,44,60.3333333333333,51.3333333333333,55.6
"Harris Andrews","BRL",515000,51,67,83,47,59,51,60.1111111111111,67,61.4
"Harry Himmelberg","GWS",457000,55,53,73,62,49,55,53.7777777777778,60.3333333333333,58.4
"Harrison Jones","ESS",359000,0,0,0,0,0,0,0,0,0
"Harrison Petty","MEL",367000,39,54,65,37,0,39,48.75,52.6666666666667,48.75
"Harry Cunningham","SYD",466000,46,50,42,55,61,46,53,46,50.8
"Harry Edwards","WCE",384000,78,28,53,46,58,78,46.1428571428571,53,52.6
"Harry McKay","CAR",545000,48,110,23,49,53,48,66.25,60.3333333333333,63.2
"Harry Morrison","HAW",637000,62,91,68,92,76,62,78.875,73.6666666666667,77.8
"Harry Perryman","GWS",715000,103,85,93,76,86,103,88.8888888888889,93.6666666666667,88.6
"Harry Schoenberg","ADE",583000,90,41,49,108,70,90,72,60,71.6
"Harry Sharp","BRL",190000,12,0,0,0,0,12,17.5,17.5,17.5
"Harvey Harrison","COLL",190000,0,0,0,0,0,0,0,0,0
"Hayden Crozier","WBD",520000,25,26,100,0,0,25,50.3333333333333,50.3333333333333,50.3333333333333
"Hayden McLean","SYD",435000,36,32,63,87,32,36,51.625,43.6666666666667,50
"Hayden Young","FRE",643000,80,86,90,77,58,80,82,85.3333333333333,78.2
"Heath Chapman","FRE",561000,50,89,69,83,84,50,70.4285714285714,69.3333333333333,75
"Henry Smith","BRL",190000,0,0,0,0,0,0,0,0,0
"Hewago Paul Oea","GCS",190000,0,0,0,0,0,0,0,0,0
"Hugh Dixon","WCE",360000,39,32,59,75,59,39,49.3333333333333,43.3333333333333,52.8
"Hugh Greenwood","NTH",630000,52,70,68,77,64,52,76.375,63.3333333333333,66.2
"Hugh Jackson","PTA",190000,0,0,0,0,0,0,0,0,0
"Hugh McCluggage","BRL",818000,78,141,96,95,110,78,95.2222222222222,105,104
"Hugo Ralphsmith","RI",374000,40,66,60,67,25,40,51.6,55.3333333333333,51.6
"Hunter Clark","STK",609000,0,0,0,0,0,0,0,0,0
"Bobby Hill","GWS",342000,3,37,47,32,57,3,41.4444444444444,29,35.2
"Isaac Chugg","COLL",190000,0,0,0,0,0,0,0,0,0
"Isaac Cumming","GWS",765000,79,108,123,76,97,79,92,103.333333333333,96.6
"Isaac Heeney","SYD",719000,75,67,95,66,103,75,93.3333333333333,79,81.2
"Isaac Quaynor","COLL",534000,78,58,63,78,56,78,64.7777777777778,66.3333333333333,66.6
"Isaac Smith","GEE",727000,96,77,71,102,91,96,87.1111111111111,81.3333333333333,87.4
"Isiah Winder","WCE",221000,31,47,0,0,0,31,39,39,39
"Ivan Soldo","RI",4e+05,85,47,62,33,57,85,50.3333333333333,64.6666666666667,56.8
